Bedrooms,Type,Price
4,semi-detached house,550000
3,semi-detached house,550000
2,apartment,550000
2,flat,550000
3,flat,550000
3,terraced house,550000
2,flat,550000
4,terraced house,550000
3,terraced house,550000
2,flat,550000
1,flat,550000
2,flat,550000
3,semi-detached house,550000
3,link detached house,550000
3,terraced house,550000
4,detached house,550000
2,flat,550000
1,flat,550000
2,flat,550000
3,semi-detached house,550000
3,terraced house,550000
4,detached house,550000
3,semi-detached house,550000
3,terraced house,550000
3,link detached house,550000
3,semi-detached house,550000
2,apartment,550000
2,apartment,550000
3,terraced house,550000
2,apartment,550000
5,semi-detached house,550000
2,flat,550000
2,apartment,550000
3,semi-detached house,550000
2,end of terrace house,550000
2,apartment,550000
2,apartment,550000
2,flat,550000
1,apartment,550000
3,detached bungalow,550000
4,end of terrace house,550000
2,bungalow,550000
4,detached house,550000
3,terraced house,550000
3,flat,550000
2,flat,550000
2,flat,550000
2,flat,550000
4,end of terrace house,550000
3,detached house,550000
4,semi-detached house,550000
3,semi-detached house,550000
2,flat,550000
4,detached house,550000
2,flat,550000
2,flat,550000
3,detached house,550000
4,semi-detached house,550000
3,semi-detached house,550000
2,flat,550000
4,detached house,550000
2,flat,550000
2,flat,550000
3,detached house,550000
2,apartment,550000
2,ground floor flat,550000
1,flat,550000
2,flat,550000
4,detached house,550000
2,maisonette,550000
1,apartment,550000
4,semi-detached house,550000
3,apartment,550000
2,flat,550000
4,terraced house,550000
3,terraced house,550000
2,maisonette,550000
1,apartment,550000
4,semi-detached house,550000
3,apartment,550000
4,terraced house,550000
2,flat,550000
3,terraced house,550000
3,semi-detached house,550000
4,terraced house,550000
3,semi-detached house,550000
2,flat,549950
5,maisonette,549950
4,detached house,549950
3,link detached house,545000
3,detached bungalow,544950
5,detached bungalow,540000
4,terraced house,540000
2,maisonette,540000
5,terraced house,540000
3,terraced house,540000
3,link detached house,545000
3,detached bungalow,544950
5,detached bungalow,540000
4,terraced house,540000
2,maisonette,540000
5,terraced house,540000
3,terraced house,540000
2,apartment,540000
2,flat,540000
2,flat,539000
2,flat,538500
2,apartment,535000
3,terraced house,535000
3,apartment,535000
2,flat,535000
4,terraced house,535000
2,apartment,535000
3,terraced house,535000
3,apartment,535000
3,semi-detached house,530000
4,detached house,530000
1,apartment,525000
3,town house,525000
3,apartment,525000
3,semi-detached house,525000
4,terraced house,525000
2,apartment,525000
2,end of terrace house,525000
2,mews house,525000
1,apartment,525000
3,apartment,525000
3,semi-detached house,525000
4,terraced house,525000
2,apartment,525000
2,end of terrace house,525000
2,mews house,525000
1,apartment,525000
4,semi-detached house,525000
3,terraced house,525000
3,terraced house,525000
3,semi-detached house,525000
3,flat,525000
3,semi-detached house,525000
3,maisonette,525000
3,ground floor maisonette,525000
2,apartment,525000
2,flat,525000
3,end of terrace house,525000
3,terraced house,525000
3,terraced house,525000
4,semi-detached house,525000
1,ground floor flat,525000
2,apartment,525000
3,terraced house,525000
2,apartment,525000
2,flat,525000
3,flat,525000
3,terraced house,525000
2,apartment,525000
4,apartment,525000
3,detached house,525000
3,terraced house,525000
3,terraced house,525000
3,terraced house,525000
2,flat,525000
5,detached house,525000
3,terraced house,525000
4,link detached house,525000
1,apartment,525000
3,semi-detached house,525000
2,apartment,515000
3,detached bungalow,515000
3,semi-detached house,515000
3,semi-detached house,515000
2,flat,515000
4,detached house,515000
5,terraced house,515000
2,terraced house,515000
5,semi-detached house,515000
2,flat,515000
3,semi-detached house,515000
2,flat,515000
4,detached house,515000
5,terraced house,515000
2,terraced house,515000
5,semi-detached house,515000
2,flat,515000
2,flat,514500
2,apartment,512000
3,maisonette,510000
2,apartment,500000
3,bungalow,500000
3,terraced house,500000
4,link detached house,500000
2,flat,500000
1,apartment,500000
3,end of terrace house,500000
2,flat,500000
2,flat,500000
2,apartment,500000
3,semi-detached house,500000
2,apartment,500000
3,terraced house,500000
2,apartment,500000
4,semi-detached house,500000
2,ground floor maisonette,500000
3,detached house,500000
3,terraced house,500000
3,end of terrace house,500000
2,terraced house,500000
2,apartment,500000
4,semi-detached house,500000
2,ground floor maisonette,500000
3,detached house,500000
3,terraced house,500000
3,end of terrace house,500000
2,terraced house,500000
5,end of terrace house,500000
4,detached house,500000
2,flat,500000
4,town house,500000
4,semi-detached house,500000
1,apartment,500000
2,end of terrace house,500000
2,flat,500000
2,apartment,500000
2,maisonette,500000
3,detached house,500000
2,flat,500000
2,apartment,500000
2,apartment,500000
3,ground floor maisonette,500000
2,flat,500000
3,semi-detached house,500000
2,apartment,500000
2,apartment,500000
2,flat,500000
2,terraced house,500000
2,duplex,500000
2,apartment,500000
3,semi-detached house,500000
2,apartment,500000
2,apartment,500000
2,flat,500000
2,terraced house,500000
2,duplex,500000
2,apartment,500000
4,terraced house,500000
3,apartment,500000
2,semi-detached house,500000
2,terraced house,500000
3,end of terrace house,500000
2,ground floor flat,500000
3,end of terrace house,500000
3,terraced house,500000
4,semi-detached house,500000
4,semi-detached house,500000
3,flat,500000
4,terraced house,500000
3,semi-detached house,500000
2,ground floor flat,500000
3,semi-detached house,500000
3,terraced house,500000
1,ground floor maisonette,500000
3,flat,500000
2,apartment,500000
3,ground floor maisonette,500000
2,flat,500000
4,terraced house,500000
3,detached house,500000
2,duplex,500000
3,semi-detached house,500000
4,detached house,500000
2,flat,499999
2,apartment,499999
2,apartment,499995
3,semi-detached house,499950
2,apartment,499950
1,apartment,499950
2,apartment,499000
2,flat,499999
2,apartment,499999
2,apartment,499995
3,semi-detached house,499950
2,apartment,499950
1,apartment,499950
2,apartment,499000
4,semi-detached house,496500
3,detached house,495000
2,duplex,495000
2,flat,495000
2,flat,495000
3,semi-detached house,495000
3,semi-detached house,495000
3,terraced house,495000
1,apartment,495000
3,semi-detached house,495000
1,apartment,495000
3,semi-detached house,495000
2,ground floor maisonette,495000
3,semi-detached house,495000
3,semi-detached house,495000
1,apartment,490000
3,terraced house,490000
1,flat,490000
2,flat,490000
2,ground floor flat,490000
1,apartment,490000
2,apartment,490000
3,detached bungalow,490000
1,apartment,490000
1,flat,490000
3,semi-detached house,490000
3,end of terrace house,490000
2,apartment,490000
3,semi-detached house,489000
3,apartment,485000
3,maisonette,485000
2,flat,485000
3,semi-detached house,485000
2,flat,485000
2,flat,485000
2,ground floor flat,485000
2,terraced house,485000
2,terraced house,485000
2,flat,485000
4,detached house,485000
3,end of terrace house,485000
4,terraced house,485000
2,apartment,485000
2,flat,485000
2,apartment,480000
2,terraced house,480000
3,semi-detached house,480000
3,semi-detached house,480000
2,flat,480000
3,town house,480000
2,detached bungalow,480000
4,semi-detached house,480000
2,flat,480000
2,ground floor flat,475000
2,apartment,475000
3,terraced house,475000
2,semi-detached house,475000
2,apartment,475000
2,ground floor maisonette,475000
3,town house,475000
3,semi-detached house,475000
3,semi-detached house,475000
3,detached house,475000
5,detached house,475000
2,flat,475000
1,apartment,475000
2,flat,475000
4,detached house,475000
3,apartment,475000
2,apartment,475000
2,flat,475000
2,terraced house,475000
2,ground floor maisonette,475000
1,apartment,475000
2,flat,475000
4,detached house,475000
3,apartment,475000
2,apartment,475000
2,flat,475000
2,terraced house,475000
2,ground floor flat,475000
2,ground floor maisonette,475000
2,flat,475000
3,semi-detached bungalow,475000
3,semi-detached house,475000
3,terraced house,475000
1,flat,475000
3,end of terrace house,475000
1,ground floor maisonette,475000
2,apartment,475000
2,flat,475000
1,flat,475000
3,semi-detached house,475000
3,terraced house,475000
2,apartment,475000
4,semi-detached house,475000
3,apartment,475000
2,apartment,475000
3,detached house,475000
2,flat,475000
3,end of terrace house,475000
1,ground floor flat,475000
2,flat,475000
2,apartment,475000
4,semi-detached house,475000
3,apartment,475000
2,apartment,475000
3,detached house,475000
1,ground floor flat,475000
2,flat,475000
3,end of terrace house,475000
2,flat,475000
1,flat,475000
3,maisonette,475000
4,detached house,475000
2,end of terrace house,475000
2,apartment,475000
2,apartment,475000
2,terraced house,475000
1,ground floor flat,475000
1,block of apartments,475000
3,terraced house,475000
4,semi-detached house,475000
3,end of terrace house,475000
2,apartment,475000
1,flat,475000
3,terraced house,475000
3,maisonette,475000
1,apartment,475000
2,flat,475000
4,flat,475000
1,flat,475000
1,apartment,475000
5,semi-detached house,475000
4,semi-detached house,475000
4,detached house,474950
2,apartment,470000
2,flat,470000
2,flat,470000
3,apartment,470000
4,semi-detached house,470000
1,apartment,470000
1,apartment,470000
3,terraced house,470000
2,end of terrace house,470000
3,end of terrace house,470000
3,terraced house,470000
2,terraced house,470000
2,apartment,470000
3,duplex,470000
2,flat,469999
4,detached house,468500
2,apartment,465000
2,end of terrace house,470000
3,end of terrace house,470000
3,terraced house,470000
2,terraced house,470000
2,apartment,470000
3,duplex,470000
2,flat,469999
4,detached house,468500
2,apartment,465000
